first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
อุทยานท่านถากสร้อย,สวนสนิท,ชล่ำลายเลยติด,ลูกล้อม,จุกจ้นจ่ำลองขวิด,เกวนมาก มีแฮ,หนักหน่วงเนืองเนื่องค้อม,กิ่งก้านปัฐพี
จำปาบุนแบ่งสร้อย,สบารงา,เหลืองหล่นเต็มฉายา,คู่เค้า,ปุนเด็ดกีบกับสา,ลายแลก อวรแฮ,สีเสียดเสนซ้ำหล้า,เปลี่ยนป้อนปันฉลา
มาเทินจักยื่นไม้,มาลถวาย,แถวท่องเวถีสาย,เกศเกล้า,เหมือนนางกิรีถวาย,ทัดเมื่อ รมย์นา,หลายหลากหลายเล่ห์เร้า,ร่วมชู้ชมผกา
กวาวกวิวอโศกสร้อย,สุมสุก,อวนอ่อนแกมใบทุก,กิ่งก้าน,บ่เห็นนิรมรุกข์,ยังร่ม ยังแฮ,เห็นดอกดวงไม้ม้าน,ยิ่งม้านอกเรียม
พระสูรส่งสัตว์สิ้น,เชยเชย,ลำง่างอนเสลยเสลย,สว่างร้อน,อกบาบ่เหยเหย,หายเหื่อ ทิพเอย,ยังค่ำเคาทุกข์ข้อน,ขอดข้อนขวัญสลาย
ยลใครยังร่วมชู้,ชมเมีย ม่อนแฮ,ถวายกลิ่นกับดวงเพีย,เพื่อนน้อง,เองเดียวทุราเสีย,สายเจต นี้นอ,ตายบ่ตายนี้ข้อง,ขาดแล้วยังใย
รถทองยังยื่นร้อย,เรียงกง,เวหาสเห็นธุลีลง,ลุ่มเท้า,อกเรียมบิ่นเป็นผง,ยับย่อย ยุบเอย,ชลิ่วเลวแลงเจ้า,จิ่มชู้ชาทอง
รำนึกหน้าน้องนาฏ,นงราม,เจียนจากถึงกุมกาม,ก่อนแก้ว,บเห็นพงางาม,เทาทะง่อง ถูเอย,แสนล่ำกงื้อแอ้ว,ใช่อั้นอรทอง
อารามรมเยศเมิ้น,มังราย,นามคู่คำหลวงหลาย,เช่นท้าว,หกสิบเสียมผู้ยาย,ยังรอด รามแฮ,แปงคู่นุชน้องเหน้า,นาทโอ้โรทา
ชีนพิมพ์เพิ้งเจตสร้าง,สมาธี อยู่แฮ,โอ้อำรุงเรียมรี,ร่ำไหว้,ขอพรอาดอาที,เทียมพี่ คะนึงรา,สองเสร็จถวายให้ได้,แด่ซ้อนสิเน่หา
