first_wak,second_wak,third_wak,fourth_wak,fifth_wak,sixth_wak,seventh_wak,eighth_wak
เพรงไป่เคยจากเจ้า,เสมอนา ทีเลย,อรวิบัตินี้คลา,คลาดแก้ว,ขนิษฐ์นาฏอรยุพา,เพ็ญพักตร์,ตั้งแต่จากนุชแล้ว,พี่นี้ฤๅเสบย
ครวญครวญจรลุลํ้า,เลาทาง,ลุย่านศาลากลาง,ทุ่งนั้น,นามสระประโคนปาง,ก่อนชื่อ ชี้แฮ,ดูกระโซกระเซกั้น,เก่าแล้วโกรงเกรง
ศาลาเอยเก่าไร้,โรยรา,นุชพี่เอยร้างมา,เนิ่นแล้ว,เวรเพรงพรากจำคลา,คลาดสวาดิ,จิตไป่วายห่วงแก้ว,เนตรน้องเนาหลัง
ผองเพื่อนยุรยาตรย้าย,ยลสนุก ยิ่งแฮ,อกพี่กรอมกรมทุกข์,ทับซ้ำ,ชลเนตรชโลมมุข,หมองยิ่ง หมองนา,จิตเจ็บเจียนชีพกํ้า,กึ่งม้วยมรณา
บ่ายบทเบือนบาทเยื้อง,ยาตรเทา,จำย่างยกเยาเยา,ยาบย้าย,นึกนุชทุกลำเนา,เนินพฤกษ์ ไพรแฮ,จิตป่วนปานคลั่งคล้าย,เคลิบเคลิ้มจำคลา
เรียมล่วงจรลิ่วลํ้า,ลับนาง,โออกเราจำวาง,นุชไว้,แต่เดียวอยู่เรือนลาง,เห็นเหตุ เลยแม่,ทุกข์สุขเจ้าจักได้,เพื่อนน้องไหนหนอ
ปานฉะนี้จักป่วยปิ้ม,เป็นไฉน เล่านา,ฤๅจะเคร่าครวญใคร,ปลอบบ้าง,โศกสุขจักกลใด,ยังห่อน ทราบเอย,ตั้งแต่วันเรียมร้าง,ไป่รู้วายตรอม
ตรองตรึกนึกตรวจหน้า,นุชใน ใจเอย,พักตร์แม่ผ่องจากไฝ,ฟ่าแต้ม,ริมโอษฐ์นุชเพียงใบ,กลีบกมุท มาศแฮ,ปรางเปล่งเป็นใยแย้ม,ยั่วยิ้มยวนกระมล
ตรมตรอมเกรียมจิตให้,โหยหิว,ทรวงพี่ป่วนปั่นหวิว,วาบว้า,เหลือบหลังพบแต่ทิว,ทุเมศ มากแฮ,อกพี่โอ้ห่างหน้า,นุชแล้วไป่เห็น
เรียมเซาซบพักตร์ก้ม,จำจร,เหนื่อยร่างเหนื่อยราครอน,รักไร้,กามก่อกอกอกชอน,ชอกยิ่ง หนองนา,เจ็บโศกเสกเสมอใบ้,บอกแก้ความฝัน
ปวงเพื่อนสะพรักพร้อม,พรูเดิน,ยลสนุกสนานเพลิน,เพลิดลํ้า,เรียมเดียวฤแดเขิน,ขวยจิต,โศกไป่วายว่างน้ำ,เนตรคล้อคลอสาย
ยลทุ่งกลางทุ่งว้าง,ไหวใจ,ลิบลิบระรำไร,รกเรื้อ,ยลส่ำพิหคใน,แนวทุ่ง,เขาคุ่มคับแคเจื้อ,จาบร้องเริงเสียง
ยางกรอกยางเจ่าจ้อง,คอยหา เหยื่อแฮ,จับซุ่มเซิงพฤกษา,ซอกซุ้ม,กระตั้วกระเต็นพา,ระโดกกู่ คู่เฮย,ดุเหว่าติวิดลุ้ม,เหยี่ยวไหล้บินหนี
นกเอยอยู่ทุ่งกว้าง,ยังมี เหยี่ยวแฮ,ปองลอบทำลายชี,พิตได้,นุชพี่อยู่เอกี,เจียวแม่,เกรงแต่ชู้จักใกล้,กล่อมน้องแนบถนอม ๆ
ใจนุชฝากนุชไว้,กลางใจ ด้วยแม่,ดีชั่วฤๅเช่นไหน,ย่อมรู้,ฤๅนุชจะเอาใจ,จากพี่ เล่าแม่,สุดแต่บุญกรรมขู้,ซ่างแล้วคงตรง
เรียมจรล่วงทุ่งแล้ว,แลลับ เล่านา,จวนสุริยอัสดงดับ,แด่นฟ้า,มืดเมฆชมัวอับ,อากาศ,จวบลุบางโขมดอ้า,อกโอ้อาดูร
ลุบางโขมดมืดสิ้น,แสงสูริย์,เกรงโขมดจักพายูร,ยั่วเหล้น,เรียมตกประหม่าพูน,เพิ่มเทวษ ยิ่งแฮ,จิตพี่ตึกตึกเต้น,ผ่าวร้อนรนทรวง
บางโขมดกลัวโขมดโอ้,จักหลอน หลอกฤๅ,โขมดช่วยพาเรียมจร,จวบน้อง,พอทราบเหตุแห่งสมร,สักน่อย เถิดนอ,นุชจะเนานิทรห้อง,แห่งนั้นฤๅไฉน
โขมดเอยฟังค่อยง้อ,งอนวิง วอนแฮ,ฤๅม่าห์โขมดไป่สิง,ทุ่งนี้,โขมดบอกโดยจริง,อย่าหลอก เลยพ่อ,นุชพี่มาจุ่งชี้,ช่วยแจ้งความศัลย์
